,Month,Unique_Sites,Total_Observations,Mean_Nitrate,mean sites,,,,,
87,Apr-07,15,110,3.252381818,,,,,,
88,May-07,15,120,2.891754237,,,,,,
89,Jun-07,15,119,2.839462185,,,,,,
90,Jul-07,15,115,2.528252174,,,,,,
91,Aug-07,15,120,1.865026087,,,,,,
92,Sep-07,15,118,2.221258621,,,,,,
93,Oct-07,15,122,3.658114754,,,,,,
94,Nov-07,15,110,10.95423636,,,,,,
95,Dec-07,15,110,5.394763636,,,,,,
96,Jan-08,15,113,4.850264286,16.08333333,,,,,
97,Feb-08,15,100,6.448616162,,,,,,
98,Mar-08,15,128,4.064305,,,,,,
99,Apr-08,15,114,1.836371681,,,,,,
100,May-08,15,107,1.879925234,,,,,,
101,Jun-08,17,123,2.647911475,,,,,,
102,Jul-08,17,136,2.321381203,,,,,,
103,Aug-08,17,132,1.891585385,,,,,,
104,Sep-08,17,148,2.354706757,,,,,,
105,Oct-08,17,128,3.000940625,,,,,,
106,Nov-08,17,130,6.037101587,,,,,,
107,Dec-08,16,125,4.932561789,,,,,,
108,Jan-09,16,172,5.934957485,16.33333333,,,,,
109,Feb-09,15,122,3.154290984,,,,,,
110,Mar-09,15,148,4.744069595,,,,,,
111,Apr-09,16,157,2.195240299,,,,,,
112,May-09,16,168,4.141375758,,,,,,
113,Jun-09,16,151,2.281070345,,,,,,
114,Jul-09,17,159,2.142797484,,,,,,
115,Aug-09,17,175,2.817092982,,,,,,
116,Sep-09,17,164,2.787261728,,,,,,
117,Oct-09,17,171,2.282607018,,,,,,
118,Nov-09,17,172,4.873934911,,,,,,
119,Dec-09,17,162,6.30210443,,,,,,
120,Jan-10,17,118,4.194,17,,,,,
121,Feb-10,17,126,4.192114634,,,,,,
122,Mar-10,17,141,1.812945588,,,,,,
123,Apr-10,17,106,2.26382449,,,,,,
124,May-10,17,128,1.70835124,,,,,,
125,Jun-10,17,135,2.364285981,,,,,,
126,Jul-10,17,162,2.393532836,,,,,,
127,Aug-10,17,131,1.516589231,,,,,,
128,Sep-10,17,130,1.776868992,,,,,,
129,Oct-10,17,145,2.195470629,,,,,,
130,Nov-10,17,135,3.521742963,,,,,,
131,Dec-10,17,137,5.411686131,,,,,,
132,Jan-11,17,160,4.829017834,17,,,,,
133,Feb-11,17,157,2.093070968,,,,,,
134,Mar-11,17,156,1.966819608,,,,,,
135,Apr-11,17,142,1.298993662,,,,,,
136,May-11,17,134,1.340062687,,,,,,
137,Jun-11,17,152,1.885009272,,,,,,
138,Jul-11,17,131,1.4729472,,,,,,
139,Aug-11,17,167,2.081802454,,,,,,
140,Sep-11,17,130,2.553173643,,,,,,
141,Oct-11,17,162,3.57827125,,,,,,
142,Nov-11,17,157,4.061494805,,,,,,
143,Dec-11,17,158,9.969941026,,,,,,
144,Jan-12,17,156,5.737460645,17,,,,,
145,Feb-12,17,150,2.893609459,,,,,,
146,Mar-12,17,174,2.224559524,,,,,,
147,Apr-12,17,155,2.086502667,,,,,,
148,May-12,18,165,1.681031707,,,,,,
149,Jun-12,17,166,1.540995181,,,,,,
150,Jul-12,17,158,1.542856051,,,,,,
151,Aug-12,17,169,1.35679625,,,,,,
152,Sep-12,17,168,1.580973494,,,,,,
153,Oct-12,16,168,2.05110875,,,,,,
154,Nov-12,16,175,3.072064368,,,,,,
155,Dec-12,18,191,3.870228495,,,,,,
156,Jan-13,18,209,5.397851244,17.41666667,,,,,
157,Feb-13,18,200,3.199046073,,,,,,
158,Mar-13,18,202,2.625521134,,,,,,
159,Apr-13,18,206,1.671892228,,,,,,
160,May-13,18,218,1.335591351,,,,,,
161,Jun-13,18,207,1.243462887,,,,,,
162,Jul-13,18,229,1.391480556,,,,,,
163,Aug-13,17,182,1.108024419,,,,,,
164,Sep-13,17,202,0.898392746,,,,,,
165,Oct-13,16,231,1.993783333,,,,,,
166,Nov-13,16,201,4.387636181,,,,,,
167,Dec-13,17,201,8.203797895,,,,,,
168,Jan-14,16,208,9.644470621,14.5,,,,,
169,Feb-14,16,209,3.006302222,,,,,,
170,Mar-14,15,176,1.781187654,,,,,,
171,Apr-14,15,190,1.36647284,,,,,,
172,May-14,13,174,0.651090066,,,,,,
173,Jun-14,14,192,0.960348387,,,,,,
174,Jul-14,13,187,0.66211125,,,,,,
175,Aug-14,13,184,0.752647742,,,,,,
176,Sep-14,13,180,0.945038788,,,,,,
177,Oct-14,14,194,1.073726425,,,,,,
178,Nov-14,16,198,5.914134184,,,,,,
179,Dec-14,16,265,2.418641985,,,,,,
180,Jan-15,14,193,7.639134409,13.66666667,,,,,
181,Feb-15,14,156,4.408363636,,,,,,
182,Mar-15,14,228,1.907304147,,,,,,
183,Apr-15,14,190,1.365908108,,,,,,
184,May-15,14,206,1.363507692,,,,,,
185,Jun-15,14,183,1.639651934,,,,,,
186,Jul-15,14,204,1.079278351,,,,,,
187,Aug-15,14,198,1.256434343,,,,,,
188,Sep-15,13,188,1.169208054,,,,,,
189,Oct-15,13,163,1.760522876,,,,,,
190,Nov-15,13,193,4.323130208,,,,,,
191,Dec-15,13,170,3.312941176,,,,,,
192,Jan-16,13,210,2.942864078,13,,,,,
193,Feb-16,13,170,3.526766467,,,,,,
194,Mar-16,13,187,2.124180791,,,,,,
195,Apr-16,13,187,0.874615385,,,,,,
196,May-16,13,188,1.496489362,,,,,,
197,Jun-16,13,197,1.618813559,,,,,,
198,Jul-16,13,187,1.272582418,,,,,,
199,Aug-16,13,219,1.213365385,,,,,,
200,Sep-16,13,179,1.206892655,,,,,,
201,Oct-16,13,200,1.887864583,,,,,,
202,Nov-16,13,191,3.64241573,,,,,,
203,Dec-16,13,191,4.405842105,,,,,,
204,Jan-17,13,196,2.144410256,12.91666667,,,,,
205,Feb-17,12,156,1.562645161,,,,,,
206,Mar-17,13,181,2.025777778,,,,,,
207,Apr-17,13,205,1.071293532,,,,,,
208,May-17,13,208,1.261826923,,,,,,
209,Jun-17,13,197,1.549081633,,,,,,
210,Jul-17,13,203,1.074581281,,,,,,
211,Aug-17,13,195,1.337179487,,,,,,
212,Sep-17,13,201,0.92920398,,,,,,
213,Oct-17,13,209,1.740940594,,,,,,
214,Nov-17,13,199,3.786212121,,,,,,
215,Dec-17,13,195,8.530578947,,,,,,
216,Jan-18,12,198,5.999450549,12.66666667,,,,,
217,Feb-18,12,194,4.159896373,,,,,,
218,Mar-18,12,193,1.819050279,,,,,,
219,Apr-18,13,193,1.850259067,,,,,,
220,May-18,13,211,1.447,,,,,,
221,Jun-18,13,183,1.763461538,,,,,,
222,Jul-18,13,200,1.077512953,,,,,,
223,Aug-18,13,195,1.223463687,,,,,,
224,Sep-18,13,189,1.652311828,,,,,,
225,Oct-18,13,193,2.28,,,,,,
226,Nov-18,12,184,5.033579545,,,,,,
227,Dec-18,13,214,4.445,,,,,,
228,Jan-19,13,205,3.690833333,13.83333333,,,,,
229,Feb-19,13,186,1.659289617,,,,,,
230,Mar-19,14,228,1.509805825,,,,,,
231,Apr-19,14,231,1.528606965,,,,,,
232,May-19,14,227,1.577157895,,,,,,
233,Jun-19,14,218,1.879424084,,,,,,
234,Jul-19,14,228,1.34248731,,,,,,
235,Aug-19,14,264,1.339043478,,,,,,
236,Sep-19,14,242,0.931563981,,,,,,
237,Oct-19,14,234,1.30765,,,,,,
238,Nov-19,14,245,4.521617647,,,,,,
239,Dec-19,14,237,2.628358209,,,,,,
240,Jan-20,14,254,4.262133333,9,,,,,
241,Feb-20,14,218,3.037849462,,,,,,
242,Mar-20,14,216,1.377759563,,,,,,
243,Apr-20,6,123,0.864313725,,,,,,
244,May-20,6,132,0.706,,,,,,
245,Jun-20,6,144,0.621061947,,,,,,
246,Jul-20,8,184,1.360559006,,,,,,
247,Aug-20,8,211,1.527267081,,,,,,
248,Sep-20,8,189,1.902774194,,,,,,
249,Oct-20,8,193,2.31575,,,,,,
250,Nov-20,8,194,4.174140127,,,,,,
251,Dec-20,8,179,4.918053691,,,,,,
252,Jan-21,8,182,3.507727273,12.75,,,,,
253,Feb-21,8,149,2.833442623,,,,,,
254,Mar-21,8,144,1.533384615,,,,,,
255,Apr-21,12,183,1.386549708,,,,,,
256,May-21,9,167,1.721870968,,,,,,
257,Jun-21,2,17,0.11,,,,,,
258,Jul-21,1,6,0.231666667,,,,,,
259,Aug-21,1,8,0.468571429,,,,,,
