"","Month","Unique_Sites","Total_Observations","Mean_Sulfate"
"186","July 2015",14,204,1.29713917525773
"187","August 2015",14,198,1.26480808080808
"188","September 2015",13,188,1.0070577540107
"189","October 2015",13,163,0.811673202614379
"190","November 2015",13,193,0.600229166666667
"191","December 2015",13,170,0.488294117647059
"192","January 2016",13,210,0.480825242718447
"193","February 2016",13,170,0.607664670658683
"194","March 2016",13,187,0.707683615819209
"195","April 2016",13,187,0.778901098901099
"196","May 2016",13,188,1.03925531914894
"197","June 2016",13,197,1.31295918367347
"198","July 2016",13,187,1.46675824175824
"199","August 2016",13,219,1.25254807692308
"200","September 2016",13,179,0.990564971751412
"201","October 2016",13,200,0.788645833333333
"202","November 2016",13,191,0.755449438202247
"203","December 2016",13,191,0.529368421052632
"204","January 2017",13,196,0.450102564102564
"205","February 2017",12,156,0.376774193548387
"206","March 2017",13,181,0.705722222222222
"207","April 2017",13,205,0.841442786069652
"208","May 2017",13,208,0.966009615384615
"209","June 2017",13,197,1.2730612244898
"210","July 2017",13,203,1.30768472906404
"211","August 2017",13,195,1.52620512820513
"212","September 2017",13,201,0.963830845771144
"213","October 2017",13,209,0.763712871287129
"214","November 2017",13,199,0.684848484848485
"215","December 2017",13,195,0.706736842105263
"216","January 2018",12,198,0.78489010989011
"217","February 2018",12,194,0.606082474226804
"218","March 2018",12,193,0.416373056994819
"219","April 2018",13,193,0.956165803108808
"220","May 2018",13,211,1.04766666666667
"221","June 2018",13,183,1.30324175824176
"222","July 2018",13,200,1.35761658031088
"223","August 2018",13,195,1.22212290502793
"224","September 2018",13,189,1.10075268817204
"225","October 2018",13,193,0.932139037433155
"226","November 2018",12,184,0.829034090909091
"227","December 2018",13,214,0.63018691588785
"228","January 2019",13,205,0.530980392156863
"229","February 2019",13,186,0.341475409836066
"230","March 2019",14,228,0.633155339805825
"231","April 2019",14,231,0.875671641791045
"232","May 2019",14,227,1.06852631578947
"233","June 2019",14,218,1.31188481675393
"234","July 2019",14,228,1.77664974619289
"235","August 2019",14,264,1.33530434782609
"236","September 2019",14,242,0.872559241706161
"237","October 2019",14,234,0.7345
"238","November 2019",14,245,0.890882352941176
"239","December 2019",14,237,0.491243781094527
"240","January 2020",14,254,0.780711111111111
"241","February 2020",14,218,0.668924731182796
"242","March 2020",14,216,0.57551912568306
"243","April 2020",6,123,0.818333333333333
"244","May 2020",6,132,0.881428571428571
"245","June 2020",6,144,0.989026548672566
"246","July 2020",8,184,1.85391304347826
"247","August 2020",8,211,1.43807453416149
"248","September 2020",8,189,1.25612903225806
"249","October 2020",8,193,1.197
"250","November 2020",8,194,0.692866242038217
"251","December 2020",8,179,0.601476510067114
"252","January 2021",8,182,0.542077922077922
"253","February 2021",8,149,0.536393442622951
"254","March 2021",8,144,0.614538461538462
"255","April 2021",12,183,1.02380116959064
"256","May 2021",9,167,1.05877419354839
"257","June 2021",2,17,0.375
"258","July 2021",1,6,0.566666666666667
"259","August 2021",1,8,0.557142857142857
